62	哈飞汽车	哈飞汽车	哈飞	赛马	小型车	在售
67	海马汽车	海马汽车	海马	丘比特	小型车	在售
656	吉利汽车	吉利汽车	吉利全球鹰	自由舰	小型车	在售
745	江淮汽车	江淮汽车	江淮	同悦	小型车	在售
732	江淮汽车	江淮汽车	江淮	同悦rs	小型车	在售
877	广汽本田	广汽本田	理念	理念s1	小型车	在售
725	重庆力帆	重庆力帆	力帆	力帆320	小型车	在售
589	长安铃木	长安铃木	铃木	羚羊	小型车	在售
663	昌河铃木	昌河铃木	铃木	利亚纳	小型车	在售
832	昌河铃木	昌河铃木	铃木	派喜splash	小型车	在售
645	长安铃木	长安铃木	铃木	雨燕	小型车	在售
859	上海汽车	上海汽车	MG	mg3	小型车	在售
37	MINI	MINI	MINI	mini	小型车	在售
65	MINI	MINI	MINI	miniclubman	小型车	在售
75	MINI	MINI	MINI	miniroadster	小型车	在售
50	长安马自达	长安马自达	马自达	马自达2	小型车	在售
58	长安马自达	长安马自达	马自达	马自达2劲翔	小型车	在售
944	一汽欧朗	一汽欧朗	欧朗	欧朗	小型车	在售
793	奇瑞汽车	奇瑞汽车	奇瑞	风云2	小型车	在售
54	奇瑞汽车	奇瑞汽车	奇瑞	奇瑞a1	小型车	在售
895	东风悦达起亚	东风悦达起亚	起亚	起亚k2	小型车	在售
671	东风悦达起亚	东风悦达起亚	起亚	rio锐欧	小型车	在售
801	东风悦达起亚	东风悦达起亚	起亚	秀尔	小型车	在售
55	东风日产	东风日产	日产	骊威	小型车	在售
842	东风日产	东风日产	日产	玛驰	小型车	在售
68	奇瑞汽车	奇瑞汽车	瑞麒	瑞麒m5	小型车	在售
650	上海大众斯柯达	上海大众斯柯达	斯柯达	晶锐	小型车	在售
30	天津一汽	天津一汽	夏利	夏利	小型车	在售
38	北京现代	北京现代	现代	瑞纳	小型车	在售
49	北京现代	北京现代	现代	雅绅特	小型车	在售
897	通用雪佛兰	通用雪佛兰	雪佛兰	爱唯欧	小型车	在售
602	通用雪佛兰	通用雪佛兰	雪佛兰	赛欧	小型车	在售
53	东风雪铁龙	东风雪铁龙	雪铁龙	雪铁龙c2	小型车	在售
32	天津一汽	天津一汽	一汽	威乐	小型车	在售
31	天津一汽	天津一汽	一汽	威姿	小型车	在售
52	天津一汽	天津一汽	一汽	威志	小型车	在售
70	天津一汽	天津一汽	一汽	威志v2	小型车	在售
69	天津一汽	天津一汽	一汽	夏利n5	小型车	在售
666	吉利汽车	吉利汽车	英伦	金刚	小型车	在售
730	吉利汽车	吉利汽车	英伦	金鹰	小型车	在售
846	吉利汽车	吉利汽车	英伦	英伦sc5rv	小型车	在售
41	众泰汽车	众泰汽车	众泰	众泰z200	小型车	在售
42	众泰汽车	众泰汽车	众泰	众泰z200hb	小型车	在售
667			本田	思迪	小型车	停产
51			标致	标致206	小型车	停产
35			标致	标致206(进口)	小型车	停产
685			长城	酷熊	小型车	停产
736			长城	凌傲	小型车	停产
600			大众	高尔	小型车	停产
676			菲亚特	派朗	小型车	停产
71			菲亚特	派力奥	小型车	停产
587			菲亚特	西耶那	小型车	停产
588			菲亚特	周末风	小型车	停产
597			吉利	豪情	小型车	停产
596			吉利	美日	小型车	停产
661			吉利	优利欧	小型车	停产
717			陆风	风华	小型车	停产
710			MG	mg3sw	小型车	停产
34			起亚	千里马	小型车	停产
660			雪佛兰	乐骋	小型车	停产
665			雪佛兰	乐风	小型车	停产
80			阿尔法罗密欧	alfagiulietta	紧凑型车	未上市
135			奥迪	奥迪etron	紧凑型车	未上市
93			宝马	宝马i3	紧凑型车	未上市
86			北京汽车	北京汽车c71	紧凑型车	未上市
424			本田	insight	紧凑型车	未上市
534			本田	思域(海外)	紧凑型车	未上市
117			长安	长安v802	紧凑型车	未上市
501			长丰	猎豹欧酷曼	紧凑型车	未上市
426			大众	jetta	紧凑型车	未上市
1644			道奇	dart	紧凑型车	未上市
961			丰田	auris	紧凑型车	未上市
490			丰田	卡罗拉(海外)	紧凑型车	未上市
125			丰田	普锐斯(海外)	紧凑型车	未上市
122			福特	福克斯(海外)	紧凑型车	未上市
966			观致	观致	紧凑型车	未上市
113			海马	海马3	紧凑型车	未上市
131			吉利全球鹰	全球鹰gc5	紧凑型车	未上市
119			凯迪拉克	凯迪拉克bls	紧凑型车	未上市
126			雷诺	雷诺clio	紧凑型车	未上市
1657			讴歌	讴歌ilx	紧凑型车	未上市
418			欧宝	ampera	紧凑型车	未上市
421			欧宝	corsa	紧凑型车	未上市
423			起亚	forte	紧凑型车	未上市
521			起亚	起亚cee’d	紧凑型车	未上市
442			起亚	venga	紧凑型车	未上市
516			斯柯达	明锐(海外)	紧凑型车	未上市
443			斯柯达	visiond	紧凑型车	未上市
979			沃尔沃	沃尔沃s40(进口)	紧凑型车	未上市
403			沃尔沃	沃尔沃v50	紧凑型车	未上市
419			现代	avante	紧凑型车	未上市
123			现代	现代i30(海外)	紧凑型车	未上市
124			现代	伊兰特(海外)	紧凑型车	未上市
79			雪佛兰	科鲁兹(海外)	紧凑型车	未上市
83			雪铁龙	雪铁龙ds4	紧凑型车	未上市
