744	5万-15万	7.99	11.29	7.99,8.99,9.79,10.19,10.99,11.29,10.38,11.18,7.99,8.99,9.79,10.99,	官方出厂价格	2012-05-07 20:00:00
746	5万-15万	5.98	6.64	5.98,6.18,6.28,6.44,6.64,	官方出厂价格	2012-05-07 20:00:00
62	5万-15万	6.18	6.98	6.18,6.58,6.98,	官方出厂价格	2012-05-07 20:00:00
67	5万-15万	5.39	7.19	5.39,5.89,6.69,6.89,6.29,6.59,6.99,6.39,7.19,	官方出厂价格	2012-05-07 20:00:00
656	5万以下	3.38	5.58	3.98,4.28,4.48,4.68,3.38,3.98,4.38,4.48,4.68,4.18,4.88,4.78,5.58,	官方出厂价格	2012-05-07 20:00:00
745	5万-15万	4.88	6.38	4.88,5.08,5.38,5.48,5.68,5.68,5.48,5.78,6.08,6.38,5.58,5.88,	官方出厂价格	2012-05-07 20:00:00
732	5万-15万	4.88	6.38	4.88,5.08,5.38,5.48,5.68,5.68,5.38,5.78,5.78,6.08,6.08,5.48,5.78,6.08,6.38,5.58,5.68,	官方出厂价格	2012-05-07 20:00:00
877	5万-15万	6.98	9.98	6.98,7.78,8.28,9.98,6.98,7.78,9.98,	官方出厂价格	2012-05-07 20:00:00
725	5万以下	3.48	5.49	3.65,3.85,4.15,4.89,5.29,4.45,5.49,4.89,5.29,3.48,3.78,4.08,	官方出厂价格	2012-05-07 20:00:00
589	5万以下	4.18	5.28	4.18,4.68,5.28,4.18,4.58,5.18,4.68,5.28,	官方出厂价格	2012-05-07 20:00:00
663	5万-15万	6.28	10.66	6.28,6.98,7.28,6.28,6.98,7.28,8.76,9.16,9.66,9.98,10.66,8.76,9.16,9.66,9.98,10.66,	官方出厂价格	2012-05-07 20:00:00
832	5万-15万	5.49	6.19	5.49,5.89,6.19,	官方出厂价格	2012-05-07 20:00:00
645	5万-15万	5.98	9.18	6.08,6.98,7.98,8.18,9.18,8.18,9.18,7.48,8.48,5.98,7.08,5.98,	官方出厂价格	2012-05-07 20:00:00
859	5万-15万	6.97	10.37	6.97,7.67,7.66,8.37,8.97,9.17,10.37,	官方出厂价格	2012-05-07 20:00:00
37	35万-45万	22.50	41.50	22.50,26.90,28.70,30.90,35.90,35.50,41.50,	官方出厂价格	2012-05-07 20:00:00
65	25万-35万	24.50	39.50	24.50,28.90,32.90,34.70,37.90,39.50,	官方出厂价格	2012-05-07 20:00:00
75	35万-45万	37.60	43.30	37.60,43.30,	官方出厂价格	2012-05-07 20:00:00
50	5万-15万	8.08	10.53	8.08,8.88,8.88,9.68,10.53,	官方出厂价格	2012-05-07 20:00:00
58	5万-15万	8.18	10.58	8.18,8.98,8.88,9.68,10.58,	官方出厂价格	2012-05-07 20:00:00
944	5万-15万	6.28	8.98	6.28,6.68,7.38,7.38,8.18,8.98,	官方出厂价格	2012-05-07 20:00:00
793	5万-15万	5.18	6.18	5.18,5.58,5.88,6.08,5.28,5.68,5.98,6.18,	官方出厂价格	2012-05-07 20:00:00
54	5万以下	3.68	5.68	3.68,4.08,4.38,4.68,5.18,5.68,	官方出厂价格	2012-05-07 20:00:00
895	5万-15万	7.29	10.99	7.29,7.79,8.59,9.99,7.29,7.79,8.59,8.49,9.29,9.99,9.99,10.99,	官方出厂价格	2012-05-07 20:00:00
671	5万-15万	6.98	10.48	6.98,7.78,8.48,9.18,10.48,	官方出厂价格	2012-05-07 20:00:00
801	5万-15万	10.38	14.18	10.38,11.48,11.58,12.58,12.78,10.38,11.48,11.58,12.58,12.78,12.88,14.18,	官方出厂价格	2012-05-07 20:00:00
55	5万-15万	8.58	12.98	8.58,9.58,9.58,10.58,11.18,9.98,10.98,10.28,11.28,11.68,11.98,12.98,	官方出厂价格	2012-05-07 20:00:00
842	5万-15万	6.99	9.29	6.99,7.39,8.39,9.29,	官方出厂价格	2012-05-07 20:00:00
68	5万-15万	4.88	6.28	4.88,5.58,6.28,	官方出厂价格	2012-05-07 20:00:00
650	5万-15万	7.89	11.59	7.89,9.09,8.79,9.99,11.46,9.66,10.86,11.59,7.89,9.09,8.79,9.99,9.11,10.31,10.49,11.39,9.66,10.86,	官方出厂价格	2012-05-07 20:00:00
30	5万以下	2.88	4.38	2.88,3.18,3.38,3.28,3.48,3.48,3.68,3.58,3.78,3.68,3.98,3.88,4.18,3.88,4.18,4.08,4.38,	官方出厂价格	2012-05-07 20:00:00
38	5万-15万	7.39	10.69	7.39,7.89,8.69,9.09,8.59,9.99,10.19,10.69,7.39,7.89,8.69,9.09,8.59,9.99,10.19,10.69,	官方出厂价格	2012-05-07 20:00:00
49	5万-15万	7.18	9.78	7.18,8.38,8.58,9.48,9.78,	官方出厂价格	2012-05-07 20:00:00
897	5万-15万	8.18	11.18	8.18,9.38,8.78,10.18,9.98,11.18,8.18,9.38,8.78,10.18,9.98,11.18,	官方出厂价格	2012-05-07 20:00:00
602	5万-15万	5.68	7.93	5.68,5.78,6.18,6.68,6.48,6.88,7.23,7.58,7.93,5.68,6.18,6.68,6.88,7.23,7.58,7.93,	官方出厂价格	2012-05-07 20:00:00
53	5万-15万	7.18	8.98	7.18,7.38,8.98,	官方出厂价格	2012-05-07 20:00:00
32	5万-15万	6.78	7.68	7.68,6.78,	官方出厂价格	2012-05-07 20:00:00
31	5万-15万	6.38	6.38	6.38,	官方出厂价格	2012-05-07 20:00:00
52	5万-15万	5.38	6.88	5.38,5.48,5.78,6.08,6.88,5.88,5.68,	官方出厂价格	2012-05-07 20:00:00
70	5万-15万	4.69	5.89	4.69,4.99,5.59,5.29,5.89,	官方出厂价格	2012-05-07 20:00:00
69	5万以下	4.39	4.99	4.39,4.59,4.89,4.99,	官方出厂价格	2012-05-07 20:00:00
666	5万-15万	4.68	6.08	4.68,5.88,4.88,5.48,5.18,5.28,5.68,6.08,5.58,5.98,5.58,5.98,	官方出厂价格	2012-05-07 20:00:00
730	5万-15万	5.58	6.58	5.58,5.98,6.58,5.88,6.28,	官方出厂价格	2012-05-07 20:00:00
846	5万-15万	5.23	5.63	5.23,5.53,5.63,	官方出厂价格	2012-05-07 20:00:00
41	5万-15万	4.36	6.86	4.36,4.66,5.16,5.66,4.96,5.46,5.96,5.86,6.36,6.86,	官方出厂价格	2012-05-07 20:00:00
42	5万-15万	4.96	7.66	4.96,5.46,6.06,6.46,5.26,5.76,6.36,6.76,6.16,6.66,7.26,7.66,	官方出厂价格	2012-05-07 20:00:00
99	25万-35万	25.50	32.80	25.50,26.80,28.90,30.90,32.80,	官方出厂价格	2012-05-07 20:00:00
445	5万-15万	6.28	8.58	6.28,6.68,7.38,7.88,8.58,	官方出厂价格	2012-05-07 20:00:00
101	25万-35万	27.80	36.80	27.80,30.60,32.00,36.80,	官方出厂价格	2012-05-07 20:00:00
1671	55万以上	59.80	59.80	59.80,	官方出厂价格	2012-05-07 20:00:00
103	35万-45万	31.90	35.80	31.90,35.80,	官方出厂价格	2012-05-07 20:00:00
118	5万-15万	9.38	12.58	9.38,10.38,9.68,10.78,9.88,10.98,10.48,11.58,12.58,	官方出厂价格	2012-05-07 20:00:00
533	15万-25万	13.18	26.98	13.18,13.98,15.78,16.78,17.58,18.58,26.98,	官方出厂价格	2012-05-07 20:00:00
105	5万-15万	5.28	16.98	5.29,5.69,6.69,16.98,5.28,5.68,6.68,	官方出厂价格	2012-05-07 20:00:00
137	5万-15万	5.39	6.99	5.39,5.89,6.39,6.99,5.59,5.39,5.89,6.39,6.99,	官方出厂价格	2012-05-07 20:00:00
136	5万-15万	6.29	10.99	6.29,6.69,7.89,6.29,7.09,8.69,10.99,7.79,7.69,8.09,8.99,9.69,10.99,	官方出厂价格	2012-05-07 20:00:00
140	5万-15万	5.99	7.39	5.99,7.39,	官方出厂价格	2012-05-07 20:00:00
84	5万-15万	5.98	11.88	5.99,7.09,8.29,5.98,7.08,8.28,7.98,9.98,9.28,11.88,9.28,11.88,	官方出厂价格	2012-05-07 20:00:00
139	5万-15万	9.28	14.28	9.28,10.58,10.28,11.58,9.78,11.08,9.28,10.68,10.58,11.98,9.28,10.68,10.58,11.98,10.58,11.88,14.28,9.78,	官方出厂价格	2012-05-07 20:00:00
134	5万-15万	10.39	14.19	10.39,11.39,11.19,12.19,12.19,13.19,14.19,	官方出厂价格	2012-05-07 20:00:00
