825	3238
823	3142
824	3139
818	16250
819	16118
816	4891
817	2141
814	2085
811	3247
808	16005
810	16223
807	16490
806	16116
802	2225
801	2524
800	3147
798	2289
799	2431
797	16029
796	15110
795	2189
793	16596
793	2392
792	2179
790	1949
791	2308
789	2299
788	2062
787	2382
783	16266
784	16536
779	2161
782	16065
772	16006
770	16535
769	16050
765	2109
760	16472
757	16586
757	1940
756	1965
755	2011
754	2242
753	16461
750	2363
751	2236
749	2201
748	2273
746	2243
745	2296
741	2180
744	2240
740	2207
739	2091
738	3145
736	2425
733	2270
732	2303
731	2282
730	2278
729	2377
728	2087
726	2290
725	2148
724	2394
723	16483
723	16386
723	2291
722	2090
720	2219
719	2217
717	2176
715	2056
716	2061
713	2360
714	2404
712	2143
709	2107
710	2315
707	1931
705	2501
704	2245
703	2155
701	2320
700	1970
697	2123
699	2376
695	2221
693	2175
692	2298
691	2226
689	2156
690	2160
688	2397
685	2102
687	2178
683	2096
681	2305
679	2343
680	2254
676	2529
677	2177
678	2438
675	2379
673	2293
674	2508
672	2302
671	2402
670	2398
667	2491
668	2434
666	16286
665	2066
666	2277
663	16600
664	2482
663	2173
661	2280
662	2416
659	2513
660	2065
657	2314
656	2283
653	2341
651	1948
650	2326
649	2370
646	2383
647	2478
644	2469
645	2170
643	2039
642	2110
641	2294
640	2530
636	2276
638	2212
635	2520
634	2002
632	3538
633	2003
631	2338
630	2310
629	2309
628	2407
627	2396
626	2153
624	2503
625	2128
621	2191
622	2450
620	2477
618	2068
616	2116
615	2196
613	2332
614	2451
612	2462
612	2358
611	2514
609	2498
610	2142
608	2521
607	2292
606	2111
605	1964
604	1961
603	1967
602	16590
602	2067
601	2209
600	2479
599	2495
598	2517
596	2511
597	2483
595	2494
594	2052
593	2088
591	2507
592	2456
589	2167
590	2166
587	2519
588	2488
585	2010
586	2214
584	2190
583	2051
581	2188
582	2171
580	2257
579	2147
578	2233
578	2232
577	2231
576	2285
576	2525
575	2528
574	2459
574	2158
572	2106
573	2480
571	2097
569	2095
570	2094
568	16447
568	2093
567	2092
566	16320
565	2120
564	1923
562	2406
563	2281
561	2497
560	2288
555	10003
558	15027
555	2502
554	2089
553	16597
552	2368
553	2311
550	2510
549	2055
547	2014
546	2354
545	2515
544	16004
543	16056
542	16214
541	2168
540	2364
538	15100
537	3231
536	16153
536	2036
535	2215
534	15121
533	2004
532	2008
531	16602
531	2071
529	2496
530	2275
528	2405
527	2489
526	2258
525	2348
523	2224
522	16227
519	2366
517	2380
515	2325
512	2499
513	2241
511	2146
509	2204
507	16479
504	2492
505	2035
506	2246
501	16030
500	16014
499	2165
498	16341
498	2312
496	2151
495	16145
494	2206
493	2274
492	2490
491	2145
489	2227
487	1968
486	16152
486	2453
485	2163
484	2162
482	2063
483	2154
480	2202
478	2200
477	2263
475	10022
474	2228
473	2297
470	2252
471	2323
469	16593
468	16594
469	2248
467	2485
468	2251
466	2253
465	2249
464	2250
463	15069
462	2272
461	2199
460	2205
459	2468
457	1436
458	2218
456	2157
455	3146
454	16281
453	2467
452	2384
451	4861
449	2112
450	2244
448	2295
447	2193
446	2203
445	16142
444	16604
444	2072
442	16069
441	16269
440	2138
437	2117
438	2330
435	2198
436	2213
431	2316
432	2033
430	2319
427	2279
428	16391
429	2317
424	15117
419	16139
421	2369
416	16517
414	2426
411	2374
408	3165
410	16396
407	3148
406	2186
405	2223
404	15017
401	16025
400	2187
398	16523
399	2144
398	3141
396	2101
395	2356
394	16275
393	3162
390	2220
389	1986
387	1966
388	1952
386	1999
385	2027
384	1988
383	2301
382	2140
381	2152
379	2057
380	2100
378	2049
379	16513
377	2174
376	2125
374	2129
369	2260
370	2104
373	1953
368	2261
367	2134
366	2135
364	2460
365	2005
363	2255
362	1997
361	16559
354	16289
355	16435
347	16367
346	16166
345	16330
344	16024
343	16314
342	16251
341	16283
340	16345
336	15103
338	16103
335	15101
334	16105
332	15108
330	3261
329	2029
327	1998
328	2504
326	2304
325	2159
324	2433
322	16484
323	3159
317	2045
312	2015
313	15118
314	15956
311	10002
308	1978
309	2421
310	3340
307	2509
306	2357
305	2284
304	1947
302	1954
303	1950
301	2048
300	2234
299	2347
298	2195
297	2126
296	2023
294	2472
292	2058
293	1960
290	2235
289	1979
287	2237
286	2137
284	2471
285	2349
283	2361
282	1995
281	1982
280	1946
276	1987
272	16278
275	1980
268	16353
268	16351
268	16352
268	16417
265	16273
264	15112
261	2000
262	1962
260	1955
259	2430
257	2018
258	16228
256	2017
255	2512
254	2264
250	10099
247	2355
248	16017
246	2300
244	2307
245	2313
243	2239
242	1983
237	16379
235	16310
237	16325
229	16060
228	15966
227	3539
